Name,City,Country
Technology Village,Amsterdam,NL
The City Stadium,Barcelona,ES
Cologne Cathedral,Brussels,BE
Disneyland Paris,Paris,FR
Gallery of Art Dublin,Dublin,IE
Goodmansack River,Edinburgh,GB
Alps Bridge,Frankfurt-am-Main,DE
"British Museum, London",London,GB
Manchester Museum,Manchester,GB
"St. Markos Basilica, Venice",Venice,IT
"Alito Dongo, Amsterdam",Amsterdam,NL
River Cave,Barcelona,ES
San Dossman lake,Brussels,BE
"Notre Dame Cathedral, Paris",Paris,FR
Dublin Cathedral,Dublin,IE
Sealife Edinburgh,Edinburgh,GB
Wildlife Centre,Frankfurt-am-Main,DE
London Eye,London,GB
Manchester Zoo,Manchester,GB
"Shrine of Padre Pio, San Giovanni Rotondo, Italy",Venice,IT
