Name,City,Country
IBIS Hotel Amsterdam,Amsterdam,NL
Vip Hotels ES,Barcelona,ES
Travel Lodge,Brussels,BE
Ben Tower Hotels,Paris,FR
Hilton Hotels IE,Dublin,IE
Sharaton Hotels,Edinburgh,GB
Lakeside Hotels,Frankfurt-am-Main,DE
ALOIT Hotels GB,London,GB
Hamilton Hotel,Manchester,GB
Comfort Hotel,Venice,IT
ALOIT Hotels NL,Amsterdam,NL
Novotel ES,Barcelona,ES
Lourell Hotel,Brussels,BE
Novotel FR,Paris,FR
Beat South Hotel,Dublin,IE
Sea View Hotels,Edinburgh,GB
IBIS Hotel Frankfurt,Frankfurt-am-Main,DE
Gtruly Hotels,London,GB
Premier Inn,Manchester,GB
Jurrys Inn,Venice,IT
