Name,City,Country
Kazz Right,Amsterdam,NL
Ball Pot,Barcelona,ES
Yates,Brussels,BE
De Parlor,Paris,FR
Mott Prize,Dublin,IE
Kiss Dan,Edinburgh,GB
Water Margin DE,Frankfurt-am-Main,DE
Nandos London,London,GB
Nandos Manchester,Manchester,GB
Spice n Nice,Venice,IT
Gimmy Spice NL,Amsterdam,NL
Ice n Sweet,Barcelona,ES
Tiger Tiger,Brussels,BE
Oriental Food,Paris,FR
Royal Kitchen,Dublin,IE
Scottish Taste,Edinburgh,GB
Water Margin DE,Frankfurt-am-Main,DE
Remilicious,London,GB
TGI Friday,Manchester,GB
Taste of Italy,Venice,IT
